username,password,role,assigned_district,assigned_chiefdom,access_level,monitor_role,landing_page,allowed_pages,region,district,chiefdom,health_facility,community,full_name,telephone
nat004,12345,national,Kenema,All,national,national_monitor,portal.html,"portal.html,monitor.html",Eastern Province,Kenema,All,Regional Office,Kenema City,Andrew Dumbuya,030779010
nat005,12345,national,Karene,All,national,national_monitor,portal.html,"portal.html,monitor.html",North West Province,Karene,All,Regional Office,Karene Town,Brima Turay,030986143
nat006,12345,national,Port Loko,All,national,national_monitor,portal.html,"portal.html,monitor.html",North West Province,Port Loko,All,Regional Office,Port Loko Town,Emmanuel Kowa,030971179
nat007,12345,national,Kailahun,All,national,national_monitor,portal.html,"portal.html,monitor.html",Eastern Province,Kailahun,All,Regional Office,Kailahun Town,Theresa Johnson,030246095
nat008,12345,national,Kambia,All,national,national_monitor,portal.html,"portal.html,monitor.html",North West Province,Kambia,All,Regional Office,Kambia Town,Memunatu Conteh,033518888
nat009,12345,national,Kailahun,All,national,national_monitor,portal.html,"portal.html,monitor.html",Eastern Province,Kailahun,All,Regional Office,Kailahun Town,Andrew Bangura,030654051
nat010,12345,national,Bonthe,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Bonthe,All,Regional Office,Bonthe Town,Saidu Koroma,030520585
nat011,12345,national,Koinadugu,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Koinadugu,All,Regional Office,Kabala,Joyce Kabba,030221704
nat012,12345,national,Tonkolili,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Tonkolili,All,Regional Office,Mile 91,Joseph Bangura,078486874
nat013,12345,national,Kenema,All,national,national_monitor,portal.html,"portal.html,monitor.html",Eastern Province,Kenema,All,Regional Office,Kenema City,Sahr Kalokoh,078156676
nat014,12345,national,Bo,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Bo,All,Regional Office,Bo Town,Martha Kamara,078841616
nat015,12345,national,Koinadugu,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Koinadugu,All,Regional Office,Kabala,Nemata Koroma,076544796
nat016,12345,national,Koinadugu,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Koinadugu,All,Regional Office,Kabala,Sia Samura,076596401
nat017,12345,national,Moyamba,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Moyamba,All,Regional Office,Moyamba Town,Alpha Sesay,077970213
nat018,12345,national,Bonthe,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Bonthe,All,Regional Office,Bonthe Town,Martin Bangura,033275571
nat019,12345,national,Falaba,All,national,national_monitor,portal.html,"portal.html,monitor.html",Northern Province,Falaba,All,Regional Office,Foindu,Ya Tarawally,030431027
nat020,12345,national,Moyamba,All,national,national_monitor,portal.html,"portal.html,monitor.html",Southern Province,Moyamba,All,Regional Office,Moyamba Town,Alice Suma,033473121
dash001,12345,dashboard,Western Area Rural,All,national,dashboard,dash.html,"dash.html",Western Area,Western Area Rural,All,District Office,Waterloo,Patrick Conteh,030551884
dash002,12345,dashboard,Port Loko,All,national,dashboard,dash.html,"dash.html",North West Province,Port Loko,All,District Office,Port Loko Town,Memunatu Lahai,033313237
dash003,12345,dashboard,Kailahun,All,national,dashboard,dash.html,"dash.html",Eastern Province,Kailahun,All,District Office,Kailahun Town,Martin Lahai,079829114
dash004,12345,dashboard,Moyamba,All,national,dashboard,dash.html,"dash.html",Southern Province,Moyamba,All,District Office,Moyamba Town,Esther Bangura,079691251
dash005,12345,dashboard,Western Area Rural,All,national,dashboard,dash.html,"dash.html",Western Area,Western Area Rural,All,District Office,Waterloo,Paul Foday,077892268
dash006,12345,dashboard,Kenema,All,national,dashboard,dash.html,"dash.html",Eastern Province,Kenema,All,District Office,Kenema City,Grace Jalloh,078225358
dash007,12345,dashboard,Port Loko,All,national,dashboard,dash.html,"dash.html",North West Province,Port Loko,All,District Office,Port Loko Town,Elizabeth Gbunduka,030842498
dash008,12345,dashboard,Kono,All,national,dashboard,dash.html,"dash.html",Eastern Province,Kono,All,District Office,Koidu Town,Zainab Koroma,033229959
dash009,12345,dashboard,Kenema,All,national,dashboard,dash.html,"dash.html",Eastern Province,Kenema,All,District Office,Kenema City,Martin Cole,030396907
dash010,12345,dashboard,Port Loko,All,national,dashboard,dash.html,"dash.html",North West Province,Port Loko,All,District Office,Port Loko Town,Jenneh Kabba,077647102
chisup001,12345,chisup,Kailahun,Dea,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kailahun,Dea,Dea Community Hospital,Kailahun Town,John Suma,078925556
chisup002,12345,chisup,Kenema,Dodo,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kenema,Dodo,Dodo CHP,Tongo,Mary Turay,076537147
chisup003,12345,chisup,Kono,Gbense,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kono,Gbense,Gbense CHP,Sefadu,Sahr Kanneh,079963259
chisup004,12345,chisup,Bombali,Makari Gbanti,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Bombali,Makari Gbanti,Makari Gbanti CHC,Binkolo,Alpha Kamara,033774701
chisup005,12345,chisup,Falaba,Gbanti,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Falaba,Gbanti,Gbanti Community Hospital,Gbo,Rebecca Suma,033500479
chisup006,12345,chisup,Koinadugu,Neya,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Koinadugu,Neya,Neya Community Hospital,Kamadugu,Mohamed Koroma,079245650
chisup007,12345,chisup,Tonkolili,Malal Mara,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Tonkolili,Malal Mara,Malal Mara Community Hospital,Makali,Christopher Gbunduka,078841687
chisup008,12345,chisup,Kambia,Tunkia,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Kambia,Tunkia,Tunkia CHC,Kasirie,Janet Dumbuya,076216558
chisup009,12345,chisup,Karene,Sambaia,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Karene,Sambaia,Sambaia CHC,Mayatta,Mariatu Mansaray,033680002
chisup010,12345,chisup,Port Loko,Masimera,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Port Loko,Masimera,Masimera CHC,Kamasondo,James Dumbuya,078952694
chisup011,12345,chisup,Bo,Selenga,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Bo,Selenga,Selenga CHC,Bo Town,Mary Fofanah,079947055
chisup012,12345,chisup,Bonthe,Sogbeni,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Bonthe,Sogbeni,Sogbeni MCHP,Mattru,Lucia Sei,030097499
chisup013,12345,chisup,Moyamba,Bagruwa,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Moyamba,Bagruwa,Bagruwa CHP,Ribbi,Lucia Kabba,077896230
chisup014,12345,chisup,Pujehun,Galliness,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Pujehun,Galliness,Galliness MCHP,Galliness,Patrick Tarawally,079263689
chisup015,12345,chisup,Western Area Rural,Benguema,district,chw_supervisor,monitor.html,"monitor.html",Western Area,Western Area Rural,Benguema,Benguema Community Hospital,Grafton,Cecilia Tarawally,030786527
chisup016,12345,chisup,Western Area Urban,Tombo,district,chw_supervisor,monitor.html,"monitor.html",Western Area,Western Area Urban,Tombo,Tombo CHC,Kroo Bay,Elizabeth Dumbuya,079334843
chisup017,12345,chisup,Kailahun,Kissi Tongi,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kailahun,Kissi Tongi,Kissi Tongi CHC,Penguia,Kadi Kamara,078758441
chisup018,12345,chisup,Kenema,Koidu Town,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kenema,Koidu Town,Koidu Town Community Hospital,Joru,Ya Foday,077404157
chisup019,12345,chisup,Kono,Lei,district,chw_supervisor,monitor.html,"monitor.html",Eastern Province,Kono,Lei,Lei CHC,Nimikoro,Kadi Gbunduka,033484219
chisup020,12345,chisup,Bombali,Saberi,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Bombali,Saberi,Saberi CHP,Kagbane,Paul Williams,030301657
chisup021,12345,chisup,Falaba,Biriwa,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Falaba,Biriwa,Biriwa MCHP,Foindu,Adama Kamara,033267734
chisup022,12345,chisup,Koinadugu,Diang,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Koinadugu,Diang,Diang CHC,Fadugu,Sahr Conteh,030938026
chisup023,12345,chisup,Tonkolili,Kunike Barina,district,chw_supervisor,monitor.html,"monitor.html",Northern Province,Tonkolili,Kunike Barina,Kunike Barina CHP,Magbaima,Fatmata Sowa,079240049
chisup024,12345,chisup,Kambia,Tunkia,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Kambia,Tunkia,Tunkia MCHP,Tawuya,Kumba Kanneh,079887287
chisup025,12345,chisup,Karene,Sambaia,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Karene,Sambaia,Sambaia CHC,Gbanti,Foday Kalokoh,077742054
chisup026,12345,chisup,Port Loko,Bureh,district,chw_supervisor,monitor.html,"monitor.html",North West Province,Port Loko,Bureh,Bureh CHP,Masimera,Sorie Kai,033516122
chisup027,12345,chisup,Bo,Valunia,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Bo,Valunia,Valunia Community Hospital,Bumpeh,Emmanuel Kamara,078637454
chisup028,12345,chisup,Bonthe,Bonthe Municipal,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Bonthe,Bonthe Municipal,Bonthe Municipal MCHP,Largor,Lamin Johnson,076174268
chisup029,12345,chisup,Moyamba,Kaiyamba,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Moyamba,Kaiyamba,Kaiyamba CHC,Dasse,Lucy Lahai,033332727
chisup030,12345,chisup,Pujehun,Peje,district,chw_supervisor,monitor.html,"monitor.html",Southern Province,Pujehun,Peje,Peje CHC,Yakemo Kpukumu,Christopher Kabba,033339187
ind001,12345,independent,Kailahun,Jawei,district,independent_monitor,monitor.html,"monitor.html",Eastern Province,Kailahun,Jawei,Jawei CHC,Pendembu,Martin Mansaray,076883982
ind002,12345,independent,Kenema,Dodo,district,independent_monitor,monitor.html,"monitor.html",Eastern Province,Kenema,Dodo,Dodo CHP,Tongo,Paul Samura,076397187
ind003,12345,independent,Kono,Gbane,district,independent_monitor,monitor.html,"monitor.html",Eastern Province,Kono,Gbane,Gbane MCHP,Tombodu,James Kowa,079908740
ind004,12345,independent,Bombali,Gbanti Kamaranka,district,independent_monitor,monitor.html,"monitor.html",Northern Province,Bombali,Gbanti Kamaranka,Gbanti Kamaranka Community Hospital,Masongbo,Mohamed Suma,033106518
ind005,12345,independent,Falaba,Wara Wara Yagala,district,independent_monitor,monitor.html,"monitor.html",Northern Province,Falaba,Wara Wara Yagala,Wara Wara Yagala MCHP,Bandajuma,Aminata Kabba,076462265
ind006,12345,independent,Koinadugu,Diang,district,independent_monitor,monitor.html,"monitor.html",Northern Province,Koinadugu,Diang,Diang Community Hospital,Fadugu,Musa Bockarie,076825128
ind007,12345,independent,Tonkolili,Kafe Simiria,district,independent_monitor,monitor.html,"monitor.html",Northern Province,Tonkolili,Kafe Simiria,Kafe Simiria Community Hospital,Yele,Agnes Kamara,076478686
ind008,12345,independent,Kambia,Gbinle,district,independent_monitor,monitor.html,"monitor.html",North West Province,Kambia,Gbinle,Gbinle CHP,Rokupr,Komba Jalloh,078310690
ind009,12345,independent,Karene,Gbanti,district,independent_monitor,monitor.html,"monitor.html",North West Province,Karene,Gbanti,Gbanti CHP,Kamaranka,Saidu Mansaray,076790306
ind010,12345,independent,Port Loko,Kafu Bullom,district,independent_monitor,monitor.html,"monitor.html",North West Province,Port Loko,Kafu Bullom,Kafu Bullom Community Hospital,Lunsar,David Fofanah,077843959
ind011,12345,independent,Bo,Bagbo,district,independent_monitor,monitor.html,"monitor.html",Southern Province,Bo,Bagbo,Bagbo CHC,Tikonko,Brima Bangura,077644089
ind012,12345,independent,Bonthe,Bonthe Municipal,district,independent_monitor,monitor.html,"monitor.html",Southern Province,Bonthe,Bonthe Municipal,Bonthe Municipal CHP,Mattru,Mamie Turay,079056856
ind013,12345,independent,Moyamba,Bumpeh,district,independent_monitor,monitor.html,"monitor.html",Southern Province,Moyamba,Bumpeh,Bumpeh Community Hospital,Shenge,Esther Johnson,077427086
ind014,12345,independent,Pujehun,Fairo,district,independent_monitor,monitor.html,"monitor.html",Southern Province,Pujehun,Fairo,Fairo Community Hospital,Fairo,Adama Bockarie,077435175
ind015,12345,independent,Western Area Rural,Newton,district,independent_monitor,monitor.html,"monitor.html",Western Area,Western Area Rural,Newton,Newton MCHP,Newton,Mariatu Fofanah,078699013
ind016,12345,independent,Western Area Urban,Newton,district,independent_monitor,monitor.html,"monitor.html",Western Area,Western Area Urban,Newton,Newton CHP,Wilberforce,Tamba Sei,076331739
